OrderID,CustomerID,EmployeeID,ProductID,OrderDate,Quantity,UnitPrice,UnitCost,DiscountPct
1,185,9,54,2024-03-19,3,295710,156000,0.15
2,101,15,32,2025-09-23,4,484101,322000,0.2
3,486,13,14,2024-01-07,2,615107,440000,0.1
4,226,11,43,2024-12-03,5,288284,203000,0.15
5,165,20,56,2024-11-03,5,863852,432000,0.05
6,91,13,89,2024-11-17,2,273964,141000,0.15
7,401,8,41,2025-08-12,3,579025,345000,0.15
8,187,4,42,2025-02-06,4,387805,204000,0.1
9,93,18,73,2025-07-12,2,148321,84000,0.2
10,409,10,4,2025-03-24,4,213367,177000,0.05
11,256,5,89,2025-11-20,1,273964,141000,0.15
12,338,5,82,2024-09-15,3,354688,203000,0.05
13,230,20,92,2024-03-16,4,759219,396000,0.15
14,260,14,62,2025-07-01,5,230470,154000,0.15
15,459,18,70,2025-12-19,1,651468,327000,0.1
16,337,12,77,2024-09-11,1,92902,58000,0.0
17,331,13,22,2025-07-30,5,353698,252000,0.0
18,6,4,97,2024-04-18,3,246451,166000,0.15
19,286,19,34,2025-06-15,2,886449,498000,0.2
20,192,13,89,2025-04-01,5,273964,141000,0.05
21,177,1,60,2024-06-03,5,272251,183000,0.2
22,472,3,62,2025-03-01,1,230470,154000,0.1
23,176,15,15,2024-11-15,2,564164,320000,0.1
24,244,4,27,2024-12-22,5,381913,245000,0.15
25,154,2,57,2024-03-09,4,683509,406000,0.1
26,332,4,91,2024-12-17,1,128108,89000,0.0
27,90,18,87,2025-06-12,2,866392,494000,0.05
28,491,15,21,2025-03-12,3,527487,336000,0.2
29,328,14,30,2024-07-09,4,836817,422000,0.05
30,231,19,51,2024-07-21,1,525757,280000,0.2
31,110,7,55,2025-12-22,4,78058,57000,0.0
32,410,18,36,2024-04-14,1,236121,173000,0.2
33,235,4,24,2024-07-20,3,510411,408000,0.1
34,161,20,34,2025-10-16,4,886449,498000,0.2
35,59,12,50,2025-08-24,5,244295,174000,0.15
36,417,10,46,2024-06-25,4,181428,126000,0.2
37,69,11,79,2025-11-19,5,250982,148000,0.0
38,94,12,16,2024-04-29,2,150904,81000,0.1
39,215,20,89,2025-02-01,2,273964,141000,0.2
40,96,16,18,2025-03-09,5,542999,398000,0.15
41,86,16,82,2025-07-22,5,354688,203000,0.05
42,432,15,37,2024-11-18,2,466547,278000,0.05
43,249,5,80,2024-01-10,1,341486,186000,0.1
44,335,16,25,2025-06-01,4,356587,291000,0.2
45,431,15,53,2025-12-28,4,269183,146000,0.15
46,16,8,63,2025-08-01,2,639248,338000,0.0
47,276,10,38,2024-08-18,1,313675,175000,0.1
48,282,17,22,2025-05-22,4,353698,252000,0.2
49,397,18,15,2024-10-01,5,564164,320000,0.0
50,280,7,47,2025-03-27,5,325148,173000,0.0
51,448,2,55,2024-10-31,1,78058,57000,0.05
52,225,4,58,2024-03-30,3,282366,172000,0.1
53,353,12,100,2025-08-25,2,130122,92000,0.05
54,316,5,91,2024-06-18,5,128108,89000,0.15
55,180,18,27,2025-08-06,2,381913,245000,0.0
56,166,10,36,2024-06-21,5,236121,173000,0.2
57,461,4,38,2025-06-10,5,313675,175000,0.1
58,444,5,18,2024-10-10,4,542999,398000,0.0
59,365,11,90,2024-05-29,2,260462,156000,0.05
60,296,9,32,2024-05-25,4,484101,322000,0.15
61,39,3,81,2025-04-07,4,402769,257000,0.15
62,480,12,52,2025-12-12,5,107522,76000,0.1
63,2,3,59,2025-08-18,4,468552,288000,0.1
64,408,18,94,2024-03-05,4,98417,77000,0.1
65,254,9,51,2024-08-04,2,525757,280000,0.15
66,296,5,42,2025-07-14,3,387805,204000,0.1
67,391,2,73,2025-11-29,4,148321,84000,0.1
68,64,6,6,2024-01-17,1,618850,348000,0.15
69,104,5,57,2025-03-14,4,683509,406000,0.0
70,48,12,84,2024-10-07,3,133333,78000,0.05
