ProductID,ProductName,CategoryID,Brand,UnitCost,SellingPrice,LaunchDate
1,Fashion Product 1,4,Adidas,139000,234738,2024-09-04
2,Office Product 2,7,Canon,313000,457712,2024-02-27
3,Furniture Product 3,2,Informa,144000,285890,2024-03-29
4,Beauty Product 4,6,Nivea,177000,213367,2025-06-04
5,Fashion Product 5,4,Adidas,278000,501235,2024-02-10
6,Sport Product 6,5,Yonex,348000,618850,2023-08-04
7,Sport Product 7,5,Yonex,384000,571254,2023-10-11
8,Electronic Product 8,1,Sony,391000,506180,2025-03-19
9,Grocery Product 9,3,Indofood,257000,449456,2026-05-16
10,Furniture Product 10,2,Informa,377000,728704,2024-01-16
11,Beauty Product 11,6,Loreal,364000,501111,2025-03-14
12,Toy Product 12,8,Mattel,128000,200189,2025-09-07
13,Office Product 13,7,Canon,409000,670509,2025-04-12
14,Fashion Product 14,4,Nike,440000,615107,2024-01-30
15,Toy Product 15,8,Lego,320000,564164,2025-10-27
16,Furniture Product 16,2,IKEA,81000,150904,2024-04-23
17,Grocery Product 17,3,Indofood,134000,195974,2024-02-27
18,Furniture Product 18,2,Informa,398000,542999,2025-10-26
19,Furniture Product 19,2,IKEA,311000,484036,2025-02-24
20,Toy Product 20,8,Mattel,117000,188439,2024-08-10
21,Electronic Product 21,1,Sony,336000,527487,2024-08-03
22,Electronic Product 22,1,Samsung,252000,353698,2024-04-19
23,Fashion Product 23,4,Adidas,346000,435414,2024-08-30
24,Beauty Product 24,6,Loreal,408000,510411,2026-01-22
25,Furniture Product 25,2,Informa,291000,356587,2025-10-07
26,Grocery Product 26,3,Indofood,443000,579595,2026-03-30
27,Beauty Product 27,6,Nivea,245000,381913,2023-12-28
28,Office Product 28,7,HP,91000,158902,2025-10-20
29,Beauty Product 29,6,Nivea,110000,147705,2023-08-25
30,Grocery Product 30,3,Nestle,422000,836817,2024-11-23
31,Electronic Product 31,1,Logitech,202000,317221,2025-06-10
32,Office Product 32,7,HP,322000,484101,2025-10-23
33,Fashion Product 33,4,Adidas,285000,420924,2023-09-07
34,Fashion Product 34,4,Nike,498000,886449,2025-12-03
35,Electronic Product 35,1,Logitech,464000,801865,2025-05-30
36,Electronic Product 36,1,Samsung,173000,236121,2026-06-17
37,Electronic Product 37,1,Logitech,278000,466547,2024-09-17
38,Electronic Product 38,1,Sony,175000,313675,2024-06-26
39,Toy Product 39,8,Lego,169000,275775,2025-03-26
40,Grocery Product 40,3,Nestle,307000,612399,2025-10-01
41,Beauty Product 41,6,Nivea,345000,579025,2025-12-12
42,Fashion Product 42,4,Nike,204000,387805,2026-01-03
43,Office Product 43,7,HP,203000,288284,2024-08-16
44,Office Product 44,7,Canon,334000,533229,2024-10-20
45,Office Product 45,7,Canon,452000,732045,2025-06-20
46,Office Product 46,7,HP,126000,181428,2023-11-30
47,Toy Product 47,8,Mattel,173000,325148,2024-10-29
48,Grocery Product 48,3,Nestle,462000,725534,2024-07-21
49,Office Product 49,7,HP,263000,432853,2025-02-16
50,Office Product 50,7,Canon,174000,244295,2025-08-18
51,Furniture Product 51,2,IKEA,280000,525757,2026-07-07
52,Fashion Product 52,4,Nike,76000,107522,2024-06-24
53,Furniture Product 53,2,IKEA,146000,269183,2024-03-24
54,Toy Product 54,8,Mattel,156000,295710,2024-03-07
55,Sport Product 55,5,Yonex,57000,78058,2024-12-10
56,Furniture Product 56,2,Informa,432000,863852,2024-03-08
57,Fashion Product 57,4,Nike,406000,683509,2023-10-19
58,Office Product 58,7,Canon,172000,282366,2025-05-18
59,Office Product 59,7,Canon,288000,468552,2025-03-05
60,Sport Product 60,5,Wilson,183000,272251,2024-10-22
61,Toy Product 61,8,Mattel,100000,184225,2026-03-22
62,Beauty Product 62,6,Nivea,154000,230470,2026-03-17
63,Electronic Product 63,1,Logitech,338000,639248,2025-02-27
64,Grocery Product 64,3,Indofood,58000,81699,2023-09-08
65,Sport Product 65,5,Yonex,128000,173690,2026-05-15
66,Office Product 66,7,Canon,341000,636541,2023-12-01
67,Beauty Product 67,6,Nivea,181000,327734,2026-05-02
68,Toy Product 68,8,Mattel,285000,380357,2026-04-29
69,Grocery Product 69,3,Indofood,121000,214926,2024-01-30
70,Grocery Product 70,3,Nestle,327000,651468,2024-10-11
71,Electronic Product 71,1,Logitech,479000,899254,2025-05-08
72,Electronic Product 72,1,Samsung,441000,531452,2026-01-10
73,Fashion Product 73,4,Nike,84000,148321,2023-08-09
74,Fashion Product 74,4,Nike,308000,481960,2024-04-14
75,Toy Product 75,8,Lego,387000,615439,2024-04-16
76,Office Product 76,7,Canon,56000,67949,2025-12-13
77,Sport Product 77,5,Wilson,58000,92902,2023-09-25
78,Grocery Product 78,3,Nestle,104000,201181,2026-06-02
79,Fashion Product 79,4,Adidas,148000,250982,2025-03-19
80,Beauty Product 80,6,Loreal,186000,341486,2025-07-15
81,Beauty Product 81,6,Loreal,257000,402769,2024-09-09
82,Fashion Product 82,4,Nike,203000,354688,2024-09-15
83,Electronic Product 83,1,Sony,97000,147849,2025-01-23
84,Toy Product 84,8,Lego,78000,133333,2025-11-19
85,Furniture Product 85,2,Informa,305000,572260,2023-11-24
86,Furniture Product 86,2,IKEA,320000,619302,2026-04-20
87,Fashion Product 87,4,Adidas,494000,866392,2024-07-30
88,Sport Product 88,5,Wilson,73000,141570,2024-10-11
89,Electronic Product 89,1,Sony,141000,273964,2024-08-02
90,Electronic Product 90,1,Logitech,156000,260462,2025-04-22
91,Office Product 91,7,HP,89000,128108,2026-07-14
92,Office Product 92,7,Canon,396000,759219,2025-08-24
93,Office Product 93,7,HP,436000,781223,2025-06-17
94,Beauty Product 94,6,Loreal,77000,98417,2024-12-17
95,Furniture Product 95,2,Informa,224000,377246,2025-08-07
96,Beauty Product 96,6,Nivea,65000,110974,2023-08-18
97,Toy Product 97,8,Mattel,166000,246451,2024-08-19
98,Office Product 98,7,Canon,145000,252844,2026-04-01
99,Furniture Product 99,2,IKEA,445000,754227,2026-03-31
100,Furniture Product 100,2,Informa,92000,130122,2024-06-06
