ReturnID,OrderID,ReturnDate,QuantityReturned,ReturnReason
1,6161,2024-05-08,1,Defective
2,5579,2025-01-26,1,Late Delivery
3,2563,2025-06-03,1,Customer Changed Mind
4,1011,2025-01-08,1,Late Delivery
5,1751,2025-12-17,1,Damaged
6,4565,2025-04-30,1,Late Delivery
7,8414,2025-07-18,1,Defective
8,7559,2024-12-10,1,Damaged
9,6872,2025-11-19,1,Late Delivery
10,772,2025-11-07,1,Late Delivery
11,6738,2025-12-10,1,Late Delivery
12,7396,2024-07-22,1,Damaged
13,3800,2026-01-16,1,Defective
14,7195,2024-09-03,1,Defective
15,2790,2024-06-27,1,Damaged
16,6127,2024-03-16,1,Defective
17,550,2024-02-21,1,Late Delivery
18,901,2025-01-14,1,Late Delivery
19,9398,2025-01-19,1,Wrong Item
20,3910,2025-10-28,1,Damaged
21,2635,2024-02-01,1,Wrong Item
22,1921,2025-01-22,1,Late Delivery
23,9388,2024-12-14,1,Damaged
24,5612,2025-03-03,1,Customer Changed Mind
25,6386,2026-01-10,1,Defective
26,3197,2025-03-27,1,Customer Changed Mind
27,2939,2024-08-12,1,Customer Changed Mind
28,971,2024-11-17,1,Wrong Item
29,6136,2024-03-28,1,Defective
30,18,2024-04-25,1,Damaged
31,6922,2025-08-31,1,Late Delivery
32,5692,2025-05-07,1,Damaged
33,683,2025-05-13,1,Wrong Item
34,6504,2024-10-25,1,Late Delivery
35,9312,2025-11-02,1,Wrong Item
36,6362,2024-10-02,1,Customer Changed Mind
37,1860,2024-10-03,1,Damaged
38,5502,2024-04-25,1,Wrong Item
39,8864,2025-01-03,1,Wrong Item
40,8518,2025-04-03,1,Damaged
41,4153,2025-02-07,1,Late Delivery
42,4466,2025-08-16,1,Wrong Item
43,5755,2025-01-16,1,Late Delivery
44,2075,2024-06-02,1,Wrong Item
45,3563,2025-11-25,1,Defective
46,4097,2025-08-18,1,Wrong Item
47,9509,2025-12-04,1,Late Delivery
48,4332,2024-10-19,1,Damaged
49,1183,2024-01-29,1,Defective
50,1696,2025-08-17,1,Customer Changed Mind
51,447,2024-09-26,1,Damaged
52,545,2025-01-09,1,Defective
53,2796,2024-04-16,1,Wrong Item
54,544,2024-05-11,1,Late Delivery
55,8811,2025-03-30,1,Defective
56,9335,2025-10-15,1,Damaged
57,6149,2025-07-25,1,Late Delivery
58,8056,2025-04-29,1,Late Delivery
59,6618,2024-04-14,1,Wrong Item
60,559,2024-03-29,1,Customer Changed Mind
61,4874,2024-11-23,1,Wrong Item
62,959,2024-03-17,1,Late Delivery
63,6749,2025-03-25,1,Defective
64,2356,2024-07-22,1,Defective
65,4014,2024-09-20,1,Customer Changed Mind
66,3056,2025-10-29,1,Wrong Item
67,1583,2025-04-05,1,Defective
68,5941,2025-11-29,1,Customer Changed Mind
69,1964,2024-05-01,1,Customer Changed Mind
70,7640,2024-06-29,1,Customer Changed Mind
71,5162,2025-09-30,1,Late Delivery
72,2042,2025-12-13,1,Customer Changed Mind
73,9869,2025-11-12,1,Damaged
74,6166,2024-09-17,1,Customer Changed Mind
75,7746,2025-01-17,1,Late Delivery
76,9671,2024-02-20,1,Defective
77,2930,2024-04-25,1,Customer Changed Mind
78,9447,2025-11-10,1,Customer Changed Mind
79,6681,2026-01-02,1,Damaged
80,450,2024-02-01,1,Customer Changed Mind
81,5527,2024-07-12,1,Customer Changed Mind
82,8570,2025-05-29,1,Defective
83,7052,2024-10-04,1,Wrong Item
84,5795,2025-05-07,1,Late Delivery
85,3840,2024-12-17,1,Customer Changed Mind
86,1321,2024-10-26,1,Damaged
87,4434,2026-01-08,1,Late Delivery
88,3471,2025-12-24,1,Wrong Item
89,4432,2025-07-31,1,Defective
90,2919,2024-06-18,1,Damaged
91,2941,2025-09-25,1,Wrong Item
92,538,2025-02-11,1,Customer Changed Mind
93,8115,2025-06-17,1,Damaged
94,765,2025-11-20,1,Wrong Item
95,4699,2024-10-23,1,Defective
96,3556,2025-01-09,1,Late Delivery
97,1289,2025-12-20,1,Defective
98,742,2025-11-22,1,Defective
99,7462,2025-03-09,1,Defective
100,7495,2026-01-15,1,Damaged
101,2759,2025-10-19,1,Late Delivery
102,2720,2024-03-01,1,Wrong Item
103,2350,2024-10-31,1,Damaged
104,9198,2024-03-15,1,Wrong Item
105,7648,2024-12-14,1,Defective
106,4159,2025-05-03,1,Wrong Item
107,9789,2025-01-21,1,Late Delivery
108,5448,2024-09-11,1,Damaged
109,8302,2025-02-13,1,Customer Changed Mind
110,9281,2024-03-14,1,Late Delivery
111,3154,2024-08-02,1,Damaged
112,6558,2025-05-28,1,Damaged
113,7974,2025-07-20,1,Customer Changed Mind
114,4802,2024-04-10,1,Customer Changed Mind
115,2694,2024-01-27,1,Damaged
116,8860,2024-09-04,1,Defective
117,6513,2025-12-11,1,Defective
118,541,2025-02-03,1,Customer Changed Mind
119,1345,2024-01-16,1,Defective
120,7966,2024-01-19,1,Damaged
121,6421,2025-09-11,1,Damaged
122,7720,2025-11-27,1,Defective
123,8681,2024-11-02,1,Customer Changed Mind
124,7377,2025-02-05,1,Damaged
125,3497,2025-06-04,1,Damaged
126,8236,2025-03-13,1,Defective
127,8454,2024-03-04,1,Defective
128,940,2024-07-10,1,Defective
129,1935,2024-08-14,1,Customer Changed Mind
130,1702,2024-11-29,1,Late Delivery
131,1045,2025-05-06,1,Late Delivery
132,3386,2025-07-23,1,Damaged
133,543,2024-05-08,1,Wrong Item
134,5736,2025-09-14,1,Late Delivery
135,2821,2024-12-30,1,Wrong Item
136,9512,2024-04-07,1,Damaged
137,2465,2024-12-13,1,Late Delivery
138,3406,2025-06-03,1,Damaged
139,8678,2025-11-13,1,Defective
140,3646,2025-05-23,1,Damaged
141,5966,2025-03-26,1,Damaged
142,2424,2024-07-15,1,Wrong Item
143,3447,2025-12-17,1,Late Delivery
144,7627,2024-04-30,1,Wrong Item
145,8091,2025-08-04,1,Defective
146,5496,2025-09-18,1,Defective
147,725,2024-10-09,1,Late Delivery
148,4420,2025-08-04,1,Late Delivery
149,4695,2024-03-21,1,Defective
150,8590,2024-05-19,1,Customer Changed Mind
151,492,2025-01-08,1,Damaged
152,6514,2025-02-22,1,Late Delivery
153,3968,2024-01-16,1,Late Delivery
154,3066,2025-02-17,1,Late Delivery
155,4325,2026-01-12,1,Damaged
156,4566,2024-11-14,1,Late Delivery
157,9016,2024-01-19,1,Wrong Item
158,9986,2024-11-01,1,Damaged
159,6540,2025-09-04,1,Customer Changed Mind
160,8993,2024-08-29,1,Late Delivery
161,4102,2025-10-16,1,Customer Changed Mind
162,6714,2024-12-28,1,Customer Changed Mind
163,568,2025-12-21,1,Wrong Item
164,4567,2025-01-30,1,Wrong Item
165,1797,2025-07-28,1,Customer Changed Mind
166,2775,2025-02-22,1,Defective
167,6851,2025-05-04,1,Customer Changed Mind
168,1718,2025-12-24,1,Late Delivery
169,6489,2025-07-28,1,Late Delivery
170,6004,2024-05-17,1,Late Delivery
171,5323,2025-07-03,1,Customer Changed Mind
172,5096,2025-08-02,1,Customer Changed Mind
173,2127,2025-04-21,1,Defective
174,7653,2025-11-17,1,Wrong Item
175,9594,2024-11-19,1,Late Delivery
176,4058,2025-03-12,1,Defective
177,3218,2024-04-02,1,Customer Changed Mind
178,9634,2025-06-10,1,Wrong Item
179,9353,2024-04-29,1,Late Delivery
180,7682,2025-05-30,1,Defective
181,913,2025-05-25,1,Defective
182,2168,2024-10-09,1,Defective
183,1979,2024-07-14,1,Wrong Item
184,4880,2025-03-10,1,Defective
185,6241,2025-08-23,1,Damaged
186,1269,2025-06-13,1,Damaged
187,6317,2024-04-07,1,Defective
188,571,2024-12-09,1,Wrong Item
189,5110,2025-12-04,1,Late Delivery
190,7760,2024-04-24,1,Late Delivery
191,6227,2024-03-29,1,Wrong Item
192,1194,2025-08-15,1,Late Delivery
193,827,2025-08-05,1,Late Delivery
194,2439,2024-08-11,1,Damaged
195,7001,2024-03-27,1,Customer Changed Mind
196,6009,2025-11-06,1,Customer Changed Mind
